CTOPP.rdn.raw,CTOPP.rdn.ss.4,CTOPP.rdn.p.4,CTOPP.rdn.ss.4.4,CTOPP.rdn.p.4.4,CTOPP.rdn.ss.4.8,CTOPP.rdn.p.4.8,CTOPP.rdn.ss.5,CTOPP.rdn.p.5,CTOPP.rdn.ss.5.6,CTOPP.rdn.p.5.6,CTOPP.rdn.ss.6,CTOPP.rdn.p.6,CTOPP.rdn.ss.6.6,CTOPP.rdn.p.6.6,CTOPP.rdn.ss.7,CTOPP.rdn.p.7,CTOPP.rdn.ss.7.6,CTOPP.rdn.p.7.6,CTOPP.rdn.ss.8,CTOPP.rdn.p.8,CTOPP.rdn.ss.9,CTOPP.rdn.p.9,CTOPP.rdn.ss.10,CTOPP.rdn.p.10,CTOPP.rdn.ss.11,CTOPP.rdn.p.11,CTOPP.rdn.ss.12,CTOPP.rdn.p.12,CTOPP.rdn.ss.13,CTOPP.rdn.p.13,CTOPP.rdn.ss.14,CTOPP.rdn.p.14,CTOPP.rdn.ss.15,CTOPP.rdn.p.15
108,2,<1,-,-,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,3,1,-,-,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,3,1,-,-,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
