CTOPP.rln.raw,CTOPP.rln.ss.4,CTOPP.rln.p.4,CTOPP.rln.ss.4.4,CTOPP.rln.p.4.4,CTOPP.rln.ss.4.8,CTOPP.rln.p.4.8,CTOPP.rln.ss.5,CTOPP.rln.p.5,CTOPP.rln.ss.5.6,CTOPP.rln.p.5.6,CTOPP.rln.ss.6,CTOPP.rln.p.6,CTOPP.rln.ss.6.6,CTOPP.rln.p.6.6,CTOPP.rln.ss.7,CTOPP.rln.p.7,CTOPP.rln.ss.7.6,CTOPP.rln.p.7.6,CTOPP.rln.ss.8,CTOPP.rln.p.8,CTOPP.rln.ss.9,CTOPP.rln.p.9,CTOPP.rln.ss.10,CTOPP.rln.p.10,CTOPP.rln.ss.11,CTOPP.rln.p.11,CTOPP.rln.ss.12,CTOPP.rln.p.12,CTOPP.rln.ss.13,CTOPP.rln.p.13,CTOPP.rln.ss.14,CTOPP.rln.p.14,CTOPP.rln.ss.15,CTOPP.rln.p.15
N/A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
118,4,2,-,-,-,-,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,5,5,-,-,-,-,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,5,5,4,2,-,-,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,5,5,5,5,-,-,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,5,5,5,5,4,2,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,5,5,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,5,5,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,5,5,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,5,5,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,5,5,5,5,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,5,5,5,5,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,6,9,5,5,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,6,9,5,5,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,6,9,6,9,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,6,9,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,6,9,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,6,9,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,6,9,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,7,16,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,7,16,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,7,16,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,7,16,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,7,16,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,7,16,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,7,16,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,8,25,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,8,25,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,8,25,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,8,25,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,8,25,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,8,25,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,8,25,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
