percentile.Rank,standard.Score
<1,30
<1,31
<1,32
<1,33
<1,34
<1,35
<1,36
<1,37
<1,38
<1,39
<1,40
<1,41
<1,42
<1,43
<1,44
<1,45
<1,46
<1,47
<1,48
<1,49
<1,50
<1,51
<1,52
<1,53
<1,54
<1,55
<1,56
<1,57
<1,58
<1,59
<1,60
<1,61
<1,62
<1,63
1,64
1,65
1,66
1,67
1,68
2,69
2,70
3,71
3,72
3,73
4,74
5,75
5,76
6,77
7,78
8,79
9,80
10,81
11,
12,82
13,83
14,84
15,
16,85
17,
18,86
19,87
20,
21,88
22,
23,89
24,
25,90
26,
27,91
28,
29,
30,92
31,
32,93
33,
34,
35,94
36,
37,95
38,
39,96
40,
41,
42,97
43,
44,
45,98
46,
47,99
48,
49,
50,100
51,
52,
53,101
54,
55,102
56,
57,
58,103
59,
60,
61,104
62,
63,105
64,
65,106
66,
67,
68,107
69,
70,108
71,
72,
73,109
74,
75,110
76,
77,111
78,
79,112
80,
81,113
82,114
83,
84,115
85,
86,116
87,117
88,
89,118
90,119
91,120
92,121
93,122
94,123
95,124
95,125
96,126
97,127
97,128
97,129
98,130
98,131
99,132
99,133
99,134
99,135
>99,136
>99,137
>99,138
>99,139
>99,140
>99,141
>99,142
>99,143
>99,144
>99,145
>99,146
>99,147
>99,148
>99,149
>99,150
>99,151
>99,152
>99,153
